model,eviews,AS,PS,AI,BL,stata,vscode,vmware,vivado,unreal,windows_common,word,inventor,premiere,macos_common,linux_common,pycharm,origin,quartus,solidworks,davinci_macos,excel_macos,fruitloops,CAD,powerpoint_windows,matlab,AVG
qwen3-vl-235b+uitars1.5-7b,88,38.8,43.1,12.9,47.9,30.6,50.9,56.1,55,37.1,29.6,72.6,24.3,36.5,46.2,50,43.6,22.6,26.7,26,22.7,42.2,36.8,8.8,61,68.8,40.1
qwen3-vl-235b-dual,96,41.2,49,19.4,57.7,42.9,63.6,63.4,65,54.3,30.9,81,31.4,36.5,46.2,56,48.7,27.4,40,37.7,31.8,48.4,38.6,17.6,76.8,67.7,48.3(+1.6)
uitars1.5-7b+qwen3-vl-235b,90,35,58.8,9.7,40.8,36.7,56.4,61,50,34.3,25.9,79.8,5.7,34.6,43.1,44,41,19.4,37.8,10.4,36.4,43.8,24.6,35.3,65.9,64.5,41.7
qwen3-vl-235b-32b-dual,92,42.5,51,12.9,54.9,38.8,63.6,61,60,48.6,33.3,82.1,41.4,38.5,49.2,54,44.9,24.2,40,29.9,27.3,50,35.1,17.6,72,74.2,47.7(+1.0)
qwen3-vl-32b-dual,94,41.2,58.8,25.8,63.4,36.7,62,73.2,68.8,57.1,32.1,82.1,44.3,53.8,57.7,54,52.6,29,42.2,29.9,34.1,48.4,42.1,26.5,73.2,74.2,52.2(+1.5）
qwen2.5vl-72b+qwen3vl-32b,88,37.5,56.8,12.9,36.6,42.9,47.3,73.2,50,31.4,34.6,84,38.6,40.4,50.8,38,33.3,22.6,31.1,23.4,45.5,53.1,33.3,23.5,73.2,63.4,44.8
uitars1.5-7b-dual,88,27.5,58.8,6.5,33.8,14.3,49.1,63.4,57.5,68.6,19.8,76.2,25.7,38.5,43.1,52,11.5,33.9,24.4,29.9,47.7,46.9,28.1,41.2,53.7,63.4,42.3
qwen2.5-vl-72b+uitars1.5-7b,84,30,56.9,9.7,33.8,24.4,40,61,55,54.3,22.2,85.7,29.8,42.3,46.2,52,10.3,32.3,22.2,36.4,43.2,46.9,29.8,44.1,59.8,66.7,43.2
