model,eviews,AS,PS,AI,BL,stata,vscode,vmware,vivado,unreal,windows_common,word,inventor,premiere,macos_common,linux_common,pycharm,origin,quartus,solidworks,davinci_macos,excel_macos,fruitloops,CAD,powerpoint_windows,matlab,AVG
qwen3-vl-235b,92,40,49,9.7,57.8,36.7,58.2,56.1,62.5,51.4,30.9,81,28.6,36.5,43.1,52,43.6,25.8,37.8,22.1,22.7,46.9,35.1,11.8,68.3,64.5,46.7
qwen3-vl-32b,92,40,56.9,22.6,62,36.7,60,73.2,65,54.3,29.6,85.7,44.3,51.9,52.3,52,52.6,29,42,27.2,31.8,48.4,40.4,23.5,72,72,50.7
UI-TARS-1.5-7B,80,21.3,45.1,9.7,29.6,12.2,38.2,51.2,55,42.9,21,82.1,15.7,32.7,32.3,26,7.7,29,22.2,15.6,27.3,40.6,26.3,32.4,53.7,44.1,34.4
