model,eviews,AS,PS,AI,BL,stata,vscode,vmware,vivado,unreal,windows_common,word,inventor,premiere,macos_common,linux_common,pycharm,origin,quartus,solidworks,davinci_macos,excel_macos,fruitloops,CAD,powerpoint_windows,matlab,AVG
qwen3-vl-32b-dual,98,53.8,80.4,61.3,74.6,57.1,72.7,85.4,73.8,57.1,58,89.3,55.7,57.7,66.2,72,64.1,38.7,57.8,42.9,43.2,57.8,56.1,26.5,78.3,76.3,63.6
qwen3-vl-235b-32b-dual,100,61.3,78.4,45.2,63.4,51,72.7,73.2,78.8,82.9,51.9,84.5,52.9,50,58.5,74,67.9,33.9,57.8,48.1,50,62.5,63.2,20.6,82.9,81.7,63.4
uitars1.5-7b+qwen3-vl-32b,88,57.5,74.5,58.1,57.7,63.3,61.8,87.8,70,80,53.1,89.3,55.7,51.9,63.1,74,57.7,38.7,55.6,49.4,56.8,67.2,42.1,44.1,82.9,80.6,63.9
qwen2.5vl-72b+qwen3vl-32b,88,62.5,74.5,67.7,57.7,55.1,60,73.2,75,54.3,56.8,84.5,65.7,53.8,55.4,50,52.6,38.7,53.3,42.5,45.5,70.3,47.4,26.5,76.8,79.6,60.3
