model,eviews,AS,PS,AI,BL,stata,vscode,vmware,vivado,unreal,windows_common,word,inventor,premiere,macos_common,linux_common,pycharm,origin,quartus,solidworks,davinci_macos,excel_macos,fruitloops,CAD,powerpoint_windows,matlab,AVG
qwen3-vl-235b-32b-235b,94,55,68.6,58.1,66.2,67.3,78.2,75.6,86.3,74.3,51.9,84.7,60,57.7,60,76,71.8,37.1,60,51.9,50,64,59.6,32.4,78,82.8,65.4
qwen3-vl-32b-triple,100,57.5,51,54.8,76.1,53.1,77.5,82.9,77.5,60,60.5,85.7,52.9,57.7,67.7,72,69.2,37.1,60,51.9,50,62.5,59.6,29.4,79.3,79.6,64.1
uitars1.5-7b+qwen3vl-235b+qwen3vl-32b,98,55,68.6,48.4,66.2,49,65.5,75.6,73.8,68.6,60.5,82.1,42.9,57.7,50.8,66,66.7,30.6,57.8,39,54.5,65.6,56.1,35.3,70.7,67.7,60.5
qwen2.5vl-72b+qwen3vl-235b+qwen3vl-32b,,,,,,,,,,71.4,53.1,85.7,55.7,63.5,64.6,64,65.4,37.1,53.3,42.9,52.3,70.3,59.6,32.4,82.9,82.8,
qwen2.5vl-72b+uitars1.5-7b+qwen3vl-32b,,,,,,,,78,66.3,48.6,,,,,,,,,,,,,,,,,
