model,eviews,AS,PS,AI,BL,stata,vscode,vmware,vivado,unreal,windows_common,word,inventor,premiere,macos_common,linux_common,pycharm,origin,quartus,solidworks,davinci_macos,excel_macos,fruitloops,CAD,powerpoint_windows,matlab,AVG
uitars1.5-7b+qwen3vl-235b+qwen3vl-32b,90,33.8,56.9,12.9,45.1,38.8,54.5,65.9,52.5,40,29.6,82.1,4.3,38.5,46.2,44,43.6,19.4,35.6,10.4,27.3,42.2,31.6,5.9,68.3,67.7,41.8
qwen3vl-235b+uitars1.5-7b+qwen3vl-32b,94,35,52.9,19.4,54.9,36.7,47.2,58.5,55,48.6,32.1,73.8,10,35.6,46.2,46,38.5,24.2,37.8,9.1,38.6,34.4,38.6,5.9,69.5,67.7,42.7（+2.6）
qwen3-vl-235b-32b-235b,98,45,51,12.9,60.5,44.9,63.6,61,62.5,42.9,32.1,80,44.3,34.6,50.8,50,43.6,25.8,31.1,31.2,34.1,42.2,38.6,14.7,73.2,73.1,47.8
qwen3-vl-32b-triple,94,40,54.9,25.8,67.6,40.8,60,75.6,62.5,42.9,33.3,88,38.6,48.1,53.8,56,50,27.5,46.7,27.3,31.8,46.9,42.1,23.5,73.2,71,50.8
qwen3-vl-325b-triple,92,41.3,,16.1,57.8,,,,,48.6,,,35.7,,,,,,,,,,,,,,
